Name,bet_date,Opponent,stat_name,stat_line,est_prob,opponent_rolling_rating_scaled,hit_rate,stat_average,stat_min_l5,stat_max_l5,over,log_pred,correct_log,pts,reb,ast,fg3m
Devin Booker,2024-01-21T00:00:00Z,IND,pts,27.5,0.8747446460004941,1.0525158740766638,0.4,27.03125,8,52,0,1,1,26,6,8,1
Devin Booker,2024-01-21T00:00:00Z,IND,reb,4.5,0.21488301297140064,0.6167376697883389,0.4,4.8125,0,11,1,0,0,26,6,8,1
Devin Booker,2024-01-22T00:00:00Z,CHI,reb,4.5,0.2953849782820621,0.02099983506827658,0.5,4.848484848484849,0,11,0,0,1,16,4,5,2
Devin Booker,2024-01-22T00:00:00Z,CHI,fg3m,2.5,0.10534763195058917,2.6256916119959235,0.2,2.090909090909091,0,6,0,0,1,16,4,5,2
Devin Booker,2024-01-22T00:00:00Z,CHI,pts,26.5,0.6999793740779368,1.2257868849792684,0.4,27,8,52,0,1,0,16,4,5,2
Devin Booker,2024-01-22T00:00:00Z,CHI,ast,6.5,0.16551643954980594,0.5791593302228015,0.5,7.7272727272727275,4,15,0,0,1,16,4,5,2
Devin Booker,2024-01-24T00:00:00Z,DAL,ast,6.5,0.11646893887263457,-0.709012996995589,0.5,7.647058823529411,4,15,0,0,1,46,7,3,6
Devin Booker,2024-01-24T00:00:00Z,DAL,pts,27.5,0.43230111055956255,0.5074099135732186,0.4,26.676470588235293,8,52,1,0,0,46,7,3,6
Devin Booker,2024-01-24T00:00:00Z,DAL,reb,4.5,0.22288128229728082,0.3812051747604333,0.4,4.823529411764706,0,11,1,0,0,46,7,3,6
Devin Vassell,2024-01-19T00:00:00Z,CHA,pts,19.5,0.9234637114672607,-0.8419545974735514,0.5,17.735294117647058,4,36,0,1,1,17,5,7,4
Devin Vassell,2024-01-20T00:00:00Z,WAS,pts,18.5,0.6922604844546096,1.2129973536729344,0.4,17.714285714285715,4,36,1,1,1,21,5,5,4
Devin Vassell,2024-01-22T00:00:00Z,PHI,pts,16.5,0.0628854194698199,-0.33427123651048946,0.5,17.805555555555557,4,36,1,0,1,22,4,9,2
Devin Vassell,2024-01-22T00:00:00Z,PHI,ast,3.5,0.8557304628494178,-0.4932852004074949,0.6,3.3611111111111116,0,7,1,1,1,22,4,9,2
Devin Vassell,2024-01-24T00:00:00Z,OKC,reb,4.5,0.6456082018833517,-1.0600391118430577,0.3,3.4864864864864864,0,7,1,1,1,21,5,7,1
Devin Vassell,2024-01-24T00:00:00Z,OKC,ast,4.5,0.7390559067676127,1.672331706788432,0.5,3.513513513513513,0,9,1,1,1,21,5,7,1
Devin Vassell,2024-01-24T00:00:00Z,OKC,pts,17.5,0.31430901162385544,-0.12424413465590443,0.5,17.91891891891892,4,36,1,0,0,21,5,7,1
Dillon Brooks,2024-01-17T00:00:00Z,NYK,pts,11.5,0.5713284524790041,-1.8920049820273608,0.6,13.666666666666668,2,26,0,1,1,11,1,0,1
Dillon Brooks,2024-01-20T00:00:00Z,UTA,pts,11.5,0.3231956475668566,0.2570729649462593,0.6,13.580645161290322,2,26,0,0,1,7,5,1,1
Dillon Brooks,2024-01-24T00:00:00Z,POR,fg3m,1.5,0.1489278306364234,-0.9264422796574306,0.5,1.878787878787879,0,6,1,0,0,14,4,4,3
Dillon Brooks,2024-01-24T00:00:00Z,POR,ast,1.5,0.020367259389232034,1.4184813284909878,0.20000000000000004,1.5151515151515151,0,5,1,0,1,14,4,4,3
Dillon Brooks,2024-01-24T00:00:00Z,POR,reb,3.5,0.19925847673870256,-1.3347004716300939,0.39999999999999997,3.515151515151515,1,9,1,0,1,14,4,4,3
Dillon Brooks,2024-01-24T00:00:00Z,POR,pts,12.5,0.2751512712228634,-1.5177586448270597,0.4,13.727272727272727,2,26,1,0,0,14,4,4,3
Domantas Sabonis,2024-01-18T00:00:00Z,IND,pts,21.5,0.5581320968823987,0.14330503574760364,0.5,20.125,8,37,0,1,1,21,11,10,0
Domantas Sabonis,2024-01-25T00:00:00Z,GSW,reb,13.5,0.7215391284408776,-0.3140649389623777,0.3,12.80952380952381,5,23,0,1,0,18,8,13,2
Domantas Sabonis,2024-01-25T00:00:00Z,GSW,pts,20.5,0.1801829846958427,-0.20900786224332882,0.7,20,8,37,0,0,1,18,8,13,2
Domantas Sabonis,2024-01-25T00:00:00Z,GSW,ast,8.5,0.9362906219809203,-0.38019046826305347,0.6,7.928571428571428,3,15,1,1,1,18,8,13,2
Domantas Sabonis,2024-01-25T00:00:00Z,GSW,fg3m,0.5,0.19637276327252498,1.0052799386577294,0.5,0.45238095238095244,0,2,1,0,0,18,8,13,2
Donovan Mitchell,2024-01-20T00:00:00Z,ATL,pts,33.5,0.39073358263810565,-1.0921970120031534,0.4,28.133333333333333,10,44,0,0,1,18,6,8,0
Donovan Mitchell,2024-01-22T00:00:00Z,ORL,fg3m,3.5,0.693932209096038,-1.4248133356213821,0.7,3.096774193548387,0,6,0,1,1,25,3,13,3
Donovan Mitchell,2024-01-22T00:00:00Z,ORL,reb,4.5,0.2941291822989943,-1.0698863340048008,0.5,5.451612903225806,1,13,0,0,1,25,3,13,3
Donovan Mitchell,2024-01-22T00:00:00Z,ORL,pts,30.5,0.7415149908624203,-0.9846882176754067,0.5,27.806451612903224,10,44,0,1,1,25,3,13,3
Donovan Mitchell,2024-01-24T00:00:00Z,MIL,pts,31.5,0.56182689425024,0.9376362613845751,0.3,27.71875,10,44,0,1,0,23,7,8,2
Donovan Mitchell,2024-01-24T00:00:00Z,MIL,fg3m,3.5,0.563281134876443,0.23203204188010207,0.6,3.09375,0,6,0,1,0,23,7,8,2
Donovan Mitchell,2024-01-24T00:00:00Z,MIL,reb,4.5,0.11451302868143255,-0.5628170740566745,0.5,5.375,1,13,1,0,1,23,7,8,2
Donovan Mitchell,2024-01-24T00:00:00Z,MIL,ast,7.5,0.8110257017011739,-0.37382838399334517,0.4,6.09375,3,13,1,1,1,23,7,8,2
Donte DiVincenzo,2024-01-17T00:00:00Z,HOU,pts,13.5,0.10883730380054304,1.10612894432089,0.5,11.15,0,38,0,0,1,5,2,5,1
Donte DiVincenzo,2024-01-18T00:00:00Z,WAS,pts,14.5,0.6880956013106972,-0.45849628090437594,0.4,11,0,38,1,1,1,19,3,3,5
Donte DiVincenzo,2024-01-18T00:00:00Z,HOU,pts,13.5,0.10883730380054304,1.10612894432089,0.5,11.15,0,38,1,0,0,19,3,3,5
Donte DiVincenzo,2024-01-23T00:00:00Z,BKN,reb,3.5,0.22459984616253376,0.5450630332594479,0.5,3.116279069767442,1,8,1,0,1,11,5,0,3
Donte DiVincenzo,2024-01-23T00:00:00Z,BKN,pts,12.5,0.0010355851976226835,0.6678990548672878,0.7,11.32558139534884,0,38,0,0,1,11,5,0,3
Donte DiVincenzo,2024-01-23T00:00:00Z,BKN,fg3m,2.5,0.17449914403557926,0.08452985331733635,0.6,2.6046511627906974,0,7,1,0,1,11,5,0,3
Donte DiVincenzo,2024-01-25T00:00:00Z,DEN,reb,3.5,0.27981963584575664,-1.0817929548752148,0.5,3.159090909090909,1,8,0,0,1,16,3,6,4
