,participant_name,market,description,handicap
1134,Terance Mann,player_points_over_under,Terance Mann - Points,6.5
1135,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,10.5
1136,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,11.5
1137,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,12.5
1138,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,13.5
1139,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,14.5
1140,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,15.5
1141,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,16.5
1142,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,17.5
1143,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,18.5
1144,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,19.5
1145,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,9.5
1146,,player_points_over_under,Terry Rozier - Points,14.5
1147,Terry Rozier,player_points_over_under,Terry Rozier - Points,15.5
1148,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,12.5
1149,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,13.5
1150,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,14.5
1151,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,15.5
1152,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,16.5
1153,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,17.5
1154,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,18.5
1155,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,19.5
1156,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,20.5
1157,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,21.5
1158,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,22.5
1159,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,23.5
1160,Tyler Herro,player_points_over_under,Tyler Herro - Points,18.5
1161,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,13.5
1162,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,14.5
1163,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,15.5
1164,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,16.5
1165,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,17.5
1166,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,18.5
1167,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,19.5
1168,Bam Adebayo,player_points_over_under,Bam Adebayo - Alt Points,20.5
1169,,player_points_over_under,Bam Adebayo - Points,17.5
1170,Bam Adebayo,player_points_over_under,Bam Adebayo - Points,18.5
1171,Caleb Martin,player_points_over_under,Caleb Martin - Points,9.5
1172,Jaime Jaquez,player_points_over_under,Jaime Jaquez Jr. - Points,9.5
1173,James Harden,player_points_over_under,James Harden - Alt Points,11.5
1174,James Harden,player_points_over_under,James Harden - Alt Points,12.5
1175,James Harden,player_points_over_under,James Harden - Alt Points,13.5
1176,James Harden,player_points_over_under,James Harden - Alt Points,14.5
1177,James Harden,player_points_over_under,James Harden - Alt Points,15.5
1178,James Harden,player_points_over_under,James Harden - Alt Points,16.5
1179,James Harden,player_points_over_under,James Harden - Alt Points,17.5
1180,James Harden,player_points_over_under,James Harden - Alt Points,18.5
1181,,player_points_over_under,James Harden - Points,15.5
1182,James Harden,player_points_over_under,James Harden - Points,16.5
1183,,player_points_over_under,Jimmy Butler - Alt Points,15.5
1184,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,16.5
1185,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,17.5
1186,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,18.5
1187,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,19.5
1188,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,20.5
1189,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,21.5
1190,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,22.5
1191,Jimmy Butler,player_points_over_under,Jimmy Butler - Alt Points,23.5
1192,Jimmy Butler,player_points_over_under,Jimmy Butler - Points,20.5
1193,Josh Richardson,player_points_over_under,Josh Richardson - Points,8.5
1194,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,19.5
1195,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,20.5
1196,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,21.5
1197,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,22.5
1198,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,23.5
1199,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,24.5
1200,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,25.5
1201,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,26.5
1202,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,27.5
1203,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,28.5
1204,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Alt Points,29.5
1205,Kawhi Leonard,player_points_over_under,Kawhi Leonard - Points,25.5
1206,,player_points_over_under,Kawhi Leonard - Points,26.5
1207,,player_points_over_under,Kawhi Leonard - Points,27.5
1208,,player_points_over_under,Paul George - Alt Points,13.5
1209,Paul George,player_points_over_under,Paul George - Alt Points,14.5
1210,Paul George,player_points_over_under,Paul George - Alt Points,15.5
1211,Paul George,player_points_over_under,Paul George - Alt Points,16.5
1212,Paul George,player_points_over_under,Paul George - Alt Points,17.5
