player,pos,adj_rank
Trey Murphy III,SF,87
Cole Anthony,PG,88
Brook Lopez,C,89
De'Anthony Melton,SG,90.5
Louis King,PF,90.5
Bol Bol,PF,92
Kevin Huerter,SG,93
Jalen Duren,C,94
Tobias Harris,SF,95
Klay Thompson,SF,96
Robert Williams,C,97
Kelly Olynyk,C,98
Deni Avdija,SF,99
Zach Collins,C,100
Kyle Anderson,PF,101
Anfernee Simons,SG,102.5
Chris Paul,PG,102.5
Derrick White,SG,104
Devin Vassell,SG,105.5
P.J. Washington,PF,105.5
Kevon Looney,C,107
Bruce Brown,SF,108.5
Tre Jones,PG,108.5
Donte DiVincenzo,SG,110
Jordan Clarkson,SG,111
Brandon Clarke,PF,112.5
Talen Horton-Tucker,SG,112.5
Jabari Smith Jr.,PF,114
Gary Trent Jr.,SG,115
Tyus Jones,PG,116
Jay Huff,C,117.5
Jerami Grant,PF,117.5
Cade Cunningham,PG,119.5
Tari Eason,PF,119.5
Norman Powell,SG,121
Killian Hayes,PG,122
John Collins,PF,123.5
Kenneth Lofton Jr.,PF,123.5
Kelly Oubre Jr.,SF,125
T.J. McConnell,PG,126
Andre Drummond,C,127
Marcus Smart,PG,128
Caris LeVert,SG,129
Jay Scrubb,SG,130
Patrick Williams,PF,131
Bennedict Mathurin,SG,132
Santi Aldama,PF,133
Kenyon Martin Jr.,SF,134
Moritz Wagner,C,135
Bojan Bogdanović,PF,136
Khris Middleton,SF,137
Luka Garza,C,138
Jaden Hardy,SG,139
Austin Reaves,SG,140
Jonathan Kuminga,PF,141
Ben Simmons,PG,142
Jalen Suggs,SG,143
Jaden McDaniels,SF,144.5
Jarrell Brantley,PF,144.5
Jalen Smith,C,146.5
Keegan Murray,SF,146.5
Coby White,SG,148
Cam Thomas,SG,149
Andrew Wiggins,SF,150.5
Charles Bassey,C,150.5
Isaiah Stewart,C,152
Marvin Bagley III,C,153
Herbert Jones,PF,154
Mac McClung,SG,155.5
Xavier Tillman Sr.,C,155.5
Kris Dunn,PG,157
Jaylen Nowell,SG,158.5
Precious Achiuwa,C,158.5
Collin Sexton,PG,160
Jeremy Sochan,PF,161
Drew Eubanks,C,162.5
Paul Reed,C,162.5
Lindell Wigginton,PG,164
Tony Bradley,C,165
Hamidou Diallo,SF,166
Nick Richards,C,167
Duane Washington Jr.,SG,168
Willy Hernangómez,C,169
RaiQuan Gray,PF,170
Steven Adams,C,171
Quentin Grimes,SG,172
Isaiah Joe,SG,173
Aleksej Pokusevski,PF,174.5
Isaiah Jackson,C,174.5
Jose Alvarado,PG,176
Royce O'Neale,SF,177
Kentavious Caldwell-Pope,SG,178.5
Trendon Watford,PF,178.5
Luguentz Dort,SF,180
Caleb Martin,SF,181.5
Naji Marshall,SF,181.5
Omer Yurtseven,C,183
Lester Quinones,SG,184
Monte Morris,PG,185
Grant Williams,PF,186
Josh Minott,SF,187
Grayson Allen,SG,188
Cameron Payne,PG,189.5
Harrison Barnes,PF,189.5
Al Horford,C,191.5
Jaden Springer,SG,191.5
Darius Days,SF,193
Jalen Johnson,SF,194.5
Larry Nance Jr.,C,194.5
Bogdan Bogdanović,SG,196
Day'Ron Sharpe,C,197
