game_date,player_name,player_id,rolling_mins,min,pos,pts,ast,reb,fg3m,ftr,reb_rate,ast_rate,fg3_rate,usage_percentage,rolling_pts,rolling_usg,rolling_ast,rolling_reb,rolling_fg3m,rolling_dfs,fan_pts,rolling_max_pts,rolling_min_pts,rolling_max_ast,rolling_min_ast,rolling_max_dfs,rolling_min_dfs,rolling_max_reb,rolling_min_reb,rolling_max_fg3m,rolling_min_fg3m,rolling_sd_dfs,rolling_sd_pts,rolling_sd_ast,rolling_sd_reb,rolling_sd_fg3m,rolling_fg3_rate,rolling_max_fg3_rate,rolling_min_fg3_rate,current_pts,current_usg,current_ast,current_reb,current_3s,current_dfs,current_mins,current_fg3_rate,prev_game_date,ppm,days_rest
2024-10-28,Brice Sensabaugh,1641729,16,12,Forward,0,1,2,0,,8,2.35294117647059,,0,6.25,0.129087768286275,0.5,2.25,1,12,6,13,0,1,0,18,6,3,2,2,0,4.33589667773576,5.27257053058563,0.547722557505166,0.447213595499958,1,,,,7,0.143875198970194,0.5,2.25,1.25,13,16.75,,2024-10-25,0.417910447761194,2
2024-10-28,Brook Lopez,201572,31,32,Center,13,0,6,0,0.214285714285714,11.1574074074074,0,0.285714285714286,0.206697868147617,11.25,0.190422065741763,1.75,5.5,1.25,33,39,15,7,6,0,43,17,8,4,3,0,10.1488915650922,3.03315017762062,2.50998007960223,1.78885438199983,1.14017542509914,,,,10.75,0.161556227793237,2,5,1.75,32.75,29.25,,2024-10-27,0.367521367521368,0
2024-10-28,Cade Cunningham,1630595,36,34,Guard,24,6,8,4,0.166666666666667,11.5246098439376,5.21928234867706,0.388888888888889,0.299913676162289,26.5,0.347520293411173,7.5,5.75,2.5,49.25,54,33,6,10,4,54,24,8,3,4,0,12.3369364106329,10.2127371453494,2.28035085019828,1.92353840616713,1.4142135623731,,,,22,0.334362893040935,7,4.5,1.5,41.75,29.25,,2024-10-26,0.752136752136752,1
2024-10-28,Cam Whitmore,1641715,13.25,12,Forward,4,0,1,0,0.4,4.36594202898551,0,0.8,0.219579769431015,7.25,0.2668545864935,0,1.75,0,8.5,3,11,0,2,0,16,1,3,0,0,0,6.28490254498827,4.60434577328854,0.894427190999916,1.34164078649987,0,,,,6.25,0.242504876534056,0.5,1.75,0,8,13.5,,2024-10-26,0.462962962962963,1
2024-10-28,Cameron Payne,1626166,18,10,Guard,6,1,3,2,0,17.1428571428571,2.52100840336134,0.428571428571429,0.337078651685393,9,0.275643653392125,2.25,2,1.25,17.5,11,16,6,8,1,37,11,5,0,3,1,10.5261578935526,4.03732584763727,2.88097205817759,1.8165902124585,0.894427190999916,,,,11.5,0.250311065300709,4,2.5,1.5,24,24.5,,2024-10-25,0.469387755102041,2
2024-10-28,Caris LeVert,1627747,21,26,Guard,5,3,4,0,1,8.79120879120879,2.8673835125448,0.5,0.135715743142799,10.75,0.161875990734512,3.25,2,1.25,28.5,18,19,5,5,2,37,14,4,0,2,0,9.44986772394196,5.17687164221792,1.14017542509914,1.8165902124585,0.836660026534076,,,,11.75,0.17363936264112,3.75,1,1.5,27.5,20.75,,2024-10-26,0.566265060240964,1
2024-10-28,Chris Boucher,1628449,16.5,13,Forward,4,0,3,0,0,11.5820029027576,0,0.333333333333333,0.184282844144748,7.5,0.216015064337592,0.5,4.25,1,20.25,11,18,4,1,0,31,11,9,1,4,0,7.66811580507233,6.16441400296898,0.547722557505166,3.13049516849971,1.78885438199983,,,,9,0.251350006471764,0.75,3.75,1.5,21.75,16,,2024-10-26,0.5625,1
2024-10-28,Chris Paul,101108,26.75,28,Guard,16,3,1,3,0.3,1.87111801242236,2.92771816157117,0.4,0.202485239945501,8.75,0.165579702917588,6.25,2.5,2,23.75,26,16,3,9,3,29,16,7,0,3,1,4.96990945591567,6.38748776906853,2.50998007960223,2.70185121722126,1.09544511501033,,,,5.5,0.142993530303386,7.5,3,1.5,22.5,26.25,,2024-10-26,0.20952380952381,1
2024-10-28,Christian Braun,1631128,32.25,39,Guard,17,2,4,1,0.363636363636364,5.12820512820513,1.19814626427037,0.363636363636364,0.149356926353731,13.75,0.159447176074474,1,6,0.75,34.25,35,17,7,3,0,39,10,7,4,1,0,11.9289563667573,4.09878030638384,1.14017542509914,1.30384048104053,0.547722557505166,,,,11.25,0.185272967497218,1.25,6.25,0.5,28,29,,2024-10-26,0.387931034482759,1
2024-10-28,Clint Capela,203991,21.25,24,Center,16,2,4,0,1,9.75609756097561,2.18579234972678,0,0.188585607940447,8.5,0.144355339385873,1.5,7,0,30.75,34,16,3,2,0,34,8,10,3,0,0,10.5688220724923,4.97995983919549,0.836660026534076,2.77488738510232,0,,,,5.25,0.144834311030785,1,6.75,0,24.25,16.75,,2024-10-27,0.313432835820896,0
2024-10-28,Coby White,1629632,32,31,Guard,20,5,2,5,0.2,2.82697947214076,3.60465464117981,0.666666666666667,0.217848280751507,18.5,0.240673936818436,4.75,5,3,38,36,35,9,8,3,74,11,8,2,7,0,22.8100854886605,10.6442472725881,1.8165902124585,2.28035085019828,3.11448230047949,,,,17,0.248173808887777,5.5,6,2.25,38,31.75,,2024-10-26,0.535433070866142,1
2024-10-28,Colby Jones,1641732,12.25,2,Guard,0,0,0,0,,0,0,,0,1.75,0.0885392622367898,1.25,1.25,0.25,5.25,0,4,0,3,0,12,0,2,0,1,0,4.32434966208793,1.78885438199983,1.14017542509914,0.836660026534076,0.447213595499958,,,,2.25,0.143557678443051,2,1.5,0.25,6.5,15.75,,2024-10-17,0.142857142857143,10
2024-10-28,Cole Anthony,1630175,13.5,11,Guard,0,1,5,0,0,24.3434343434343,2.24708624708625,0.666666666666667,0.229174591099277,2,0.214089834173545,2.75,2.25,0.25,9.25,6,5,0,6,1,16,5,5,0,1,0,4.39317652729776,2.40831891575846,2.07364413533277,2.16794833886788,0.547722557505166,,,,3.25,0.222340599006176,2.75,1,0.5,9,12.75,,2024-10-26,0.254901960784314,1
2024-10-28,Collin Sexton,1629012,21.75,27,Guard,23,2,4,2,0.363636363636364,7.11111111111111,2.30880230880231,0.272727272727273,0.222826086956522,14.25,0.284330880543136,1.75,2.25,0.5,18.75,42,23,6,6,1,42,4,4,1,2,0,17.2191753577226,6.22896460095898,2.07364413533277,1.22474487139159,1.09544511501033,,,,12.5,0.297385911484228,2.75,1.5,0.5,17,21,,2024-10-25,0.595238095238095,2
2024-10-28,Corey Kispert,1630557,27.25,34,Forward,21,1,4,4,0.266666666666667,6.88665710186514,0.72354537232439,0.6,0.211265092487956,11.5,0.173310316904641,1.5,2.5,2,18.5,34,21,6,3,0,41,5,5,0,4,0,14.5086181285469,6.83373982530796,1.14017542509914,2.34520787991172,1.67332005306815,,,,11.25,0.182411979873997,1.5,2.75,2,20.25,25.25,,2024-10-26,0.445544554455446,1
2024-10-28,D'Angelo Russell,1626156,32,33,Guard,14,8,1,2,0.153846153846154,1.57444005270092,6.17172369270497,0.692307692307692,0.203701199025322,11,0.168267451056293,5.75,2,1.75,26.75,27,16,5,10,5,40,18,4,1,3,0,8.82043082847998,4.39317652729776,2.30217288664427,1.30384048104053,1.14017542509914,,,,9.75,0.165649655587687,6.25,2,1.25,25,31.5,,2024-10-26,0.30952380952381,1
2024-10-28,Dalano Banton,1630625,7.5,1,Forward,2,0,0,0,3,0,0,0,1.40777385159011,2.25,0.416515821059859,2,1,0.25,8,-2,11,0,6,0,24,-2,2,0,1,0,10.4976187776086,4.18330013267038,2.50998007960223,0.707106781186548,0.447213595499958,,,,4.5,0.142518786733762,3,1.25,0.25,12.75,11.25,,2024-10-27,0.4,0
2024-10-28,Dalen Terry,1631207,7.25,12,Forward,0,1,0,0,,0,1.78518518518519,,0.0344837454212454,1.25,0.0790969004141729,0.5,0.5,0,5,3,3,0,5,0,13,1,2,0,0,0,5.89915248150105,1.34164078649987,2.07364413533277,1.09544511501033,0,,,,1.75,0.107920917535671,1.5,1,0,7.5,9,,2024-10-26,0.194444444444444,1
2024-10-28,Damian Lillard,203081,35,35,Guard,33,7,7,2,1.2,11.9012345679012,5.49726277372263,0.533333333333333,0.295066796335159,28,0.303631002429944,6.25,6,3,49.5,68,33,20,9,4,68,26,9,4,6,1,15.9122594247329,5.68330889535313,1.92353840616713,2.16794833886788,1.92353840616713,,,,24.75,0.288407693639719,6.75,5.5,3,46.5,33,,2024-10-27,0.75,0
2024-10-28,Daniel Gafford,1629655,18.25,20,Forward-Center,9,0,7,0,0.125,16.73,0,0,0.174676134395566,9,0.195221114222701,2.25,6.25,0,29.75,32,11,4,4,0,32,27,8,4,0,0,2.40831891575846,2.64575131106459,1.58113883008419,1.51657508881031,0,,,,7.75,0.175073651864768,2.5,6.25,0,28.75,17.5,,2024-10-26,0.442857142857143,1
2024-10-28,Darius Garland,1629636,27.5,32,Guard,34,3,3,5,0.263157894736842,5.35714285714286,2.54237288135593,0.421052631578947,0.343880257673361,19.25,0.272309078521837,5,2,3.25,37,62,34,7,6,3,62,12,3,1,5,1,18.8361354847538,10.3923048454133,1.22474487139159,0.707106781186548,1.67332005306815,,,,16.5,0.243069783334266,5.5,1.75,3.25,31.5,27.5,,2024-10-26,0.6,1
2024-10-28,David Roddy,1631223,24.5,19,Forward,9,2,6,1,0.5,18.4852374839538,2.69587194608256,0.5,0.109255769697196,10.75,0.166805476161606,2.5,6.75,1,29.25,34,15,5,4,0,39,16,12,3,1,1,10.4307238483242,3.57770876399966,1.58113883008419,3.53553390593274,0,,,,9.75,0.182406377224348,2,6,1,24.75,21.5,,2024-10-27,0.453488372093023,0
2024-10-28,Davion Mitchell,1630558,26.5,35,Guard,16,6,2,3,0.4,2.86792452830189,3.84161752316765,0.6,0.179789852897028,8,0.168938027791974,5,1.75,1.25,18.75,29,16,0,8,3,29,8,3,0,3,0,8.96102672688794,6.46529195009785,2.16794833886788,1.09544511501033,1.4142135623731,,,,4.25,0.156259472130742,4.5,1.75,0.5,13.5,22.25,,2024-10-26,0.191011235955056,1
2024-10-28,De'Aaron Fox,1628368,37.25,35,Guard,24,3,6,2,0.2,9.56810631229236,2.38292238954162,0.4,0.320345013477089,22.25,0.275515693555617,7.25,5,2,43.75,42,28,11,11,3,52,32,7,2,3,1,7.19722168617863,6.89202437604511,3.84707681233427,2.07364413533277,0.836660026534076,,,,19,0.253060676794854,7.25,5.25,1.75,41.25,35.25,,2024-10-26,0.539007092198582,1
2024-10-28,DeMar DeRozan,201942,34.25,33,Guard-Forward,23,3,4,0,0.714285714285714,6.76532769556025,2.49609984399376,0.0714285714285714,0.266209262435678,20.25,0.232411625391744,2.25,3.25,0.75,32.75,43,26,9,5,1,43,8,8,0,2,0,14.7207336773681,6.76756972627545,1.48323969741913,3.11448230047949,0.894427190999916,,,,18.75,0.21806348404393,2.75,3,0.75,32,35,,2024-10-26,0.535714285714286,1
2024-10-28,Dean Wade,1629731,22.75,28,Forward-Center,1,4,3,0,0.4,6.12244897959184,3.51648351648352,1,0.0954907161803713,6.75,0.116992164624734,1.75,5.25,1.5,24.75,9,19,1,4,1,46,9,8,3,5,0,15.8018986201026,7.91833315793166,1.4142135623731,1.78885438199983,2.34520787991172,,,,10,0.130101734100351,1.5,5.75,2.5,32.5,22.25,,2024-10-26,0.449438202247191,1
2024-10-28,Deandre Ayton,1629028,31.5,34,Center,20,1,11,0,0,18.0574555403557,0.877513711151737,0,0.22448555393889,14.25,0.186595589291805,1.25,12.25,0.25,43,45,20,10,2,0,46,38,15,8,1,0,3.11448230047949,4.41588043316392,0.836660026534076,2.50998007960223,0.547722557505166,,,,12.5,0.18089436887431,1.25,11.5,0.5,42.25,27.25,,2024-10-27,0.458715596330275,0
2024-10-28,Delon Wright,1626153,12,9,Guard,0,1,0,0,,0,2.8948948948949,,0.0479716549225686,1.75,0.0871737393393134,1,0.5,0.25,5.75,0,5,0,3,0,16,0,2,0,1,0,6.26897120746299,2.12132034355964,1.51657508881031,0.894427190999916,0.547722557505166,,,,2.5,0.116770474407192,1.5,0.5,0.5,8,11.75,,2024-10-27,0.212765957446809,0
