,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
239,12024,1610612743,DEN,Denver Nuggets,0012400005,2024-10-06,DEN @ BOS,L,242,104,34,80,0.425,8,34,0.235,28,36,0.778,12,30,42,24,3,1,20,24,-26.0
240,12024,1610612756,PHX,Phoenix Suns,0012400009,2024-10-06,PHX @ LAL,W,239,118,43,96,0.448,16,39,0.41,16,19,0.842,8,42,50,33,8,5,18,18,4.0
241,12024,1610612747,LAL,Los Angeles Lakers,0012400009,2024-10-06,LAL vs. PHX,L,238,114,44,94,0.468,11,40,0.275,15,20,0.75,7,42,49,31,9,7,17,18,-4.0
242,12024,1610612749,MIL,Milwaukee Bucks,0012400008,2024-10-06,MIL @ DET,L,241,87,30,86,0.349,19,48,0.396,8,9,0.889,10,36,46,20,6,12,24,20,-33.0
243,12024,1610612761,TOR,Toronto Raptors,0012400007,2024-10-06,WAS @ TOR,W,241,125,51,93,0.548,15,37,0.405,8,12,0.667,14,37,51,39,8,3,16,29,27.0
244,12024,1610612752,NYK,New York Knicks,0012400006,2024-10-06,NYK @ CHA,W,241,111,40,94,0.426,16,45,0.356,15,19,0.789,12,27,39,21,11,5,10,19,2.0
245,12024,1610612766,CHA,Charlotte Hornets,0012400006,2024-10-06,CHA vs. NYK,L,241,109,41,82,0.5,17,38,0.447,10,18,0.556,8,38,46,27,3,6,19,24,-2.0
246,12024,1610612744,GSW,Golden State Warriors,0012400004,2024-10-05,GSW @ LAC,W,238,91,33,98,0.337,11,48,0.229,14,19,0.737,19,37,56,24,14,6,20,25,1.0
247,12024,1610612746,LAC,LA Clippers,0012400004,2024-10-05,LAC vs. GSW,L,239,90,30,78,0.385,8,35,0.229,22,28,0.786,9,38,47,21,11,6,20,14,-1.0
248,12024,1610612747,LAL,Los Angeles Lakers,0012400003,2024-10-04,LAL vs. MIN,L,241,107,38,79,0.481,10,32,0.313,21,23,0.913,4,34,38,28,9,12,20,20,-17.0
249,12024,1610612762,UTA,Utah Jazz,0012400002,2024-10-04,UTA vs. NZB,W,238,116,44,76,0.579,12,30,0.4,16,22,0.727,9,35,44,27,11,5,21,19,29.0
250,12024,15020,NZB,New Zealand Breakers,0012400002,2024-10-04,NZB @ UTA,L,239,87,34,93,0.366,11,46,0.239,8,13,0.615,13,22,35,23,11,5,16,20,-29.0
251,12024,1610612743,DEN,Denver Nuggets,0012400001,2024-10-04,BOS @ DEN,L,239,103,37,86,0.43,12,32,0.375,17,26,0.654,12,37,49,29,10,2,23,24,-4.0
252,12024,1610612750,MIN,Minnesota Timberwolves,0012400003,2024-10-04,MIN @ LAL,W,240,124,47,94,0.5,15,37,0.405,15,26,0.577,9,32,41,24,13,3,14,19,17.0
253,12024,1610612738,BOS,Boston Celtics,0012400001,2024-10-04,BOS @ DEN,W,240,107,37,98,0.378,20,61,0.328,13,17,0.765,17,27,44,29,13,8,17,24,4.0
