player_name,fantasy_team,pro_team,position,injured,injury_status,is_free_agent
Seth Lundy,Free Agent,FA,SG,True,OUT,True
Jeff Dowtin Jr.,Free Agent,PHL,PG,False,ACTIVE,True
Keaton Wallace,Free Agent,ATL,PG,False,ACTIVE,True
Dominick Barlow,Free Agent,ATL,PF,False,ACTIVE,True
Nerlens Noel,Free Agent,FA,C,False,ACTIVE,True
Cedi Osman,Free Agent,FA,SF,False,DAY_TO_DAY,True
Amari Bailey,Free Agent,FA,SG,False,ACTIVE,True
James Webb III,Free Agent,BKN,PF,False,[],True
Jalen Slawson,Free Agent,FA,SF,False,ACTIVE,True
Rakeem Christmas,Free Agent,IND,PF,False,[],True
Adama Sanogo,Free Agent,CHI,C,False,ACTIVE,True
Dylan Windler,Free Agent,FA,SF,False,ACTIVE,True
D.J. Wilson,Free Agent,FA,PF,False,ACTIVE,True
Anthony Gill,Free Agent,WAS,PF,False,ACTIVE,True
Gorgui Dieng,Free Agent,SAS,C,False,[],True
Cat Barber,Free Agent,ATL,PG,False,[],True
Darius Bazley,Free Agent,FA,PF,False,ACTIVE,True
Mindaugas Kuzminskas,Free Agent,NYK,PF,False,[],True
Jarron Cumberland,Free Agent,POR,SG,False,[],True
Jabari Brown,Free Agent,MIL,SG,False,[],True
Trey Jemison III,Free Agent,NOP,C,False,ACTIVE,True
Usman Garuba,Free Agent,FA,PF,False,ACTIVE,True
Anthony Brown,Free Agent,PHL,SF,False,[],True
David Nwaba,Free Agent,OKC,SG,False,[],True
Stanley Johnson,Free Agent,SAS,SF,False,[],True
Malik Williams,Free Agent,MIA,C,False,ACTIVE,True
Sasha Vezenkov,Free Agent,FA,PF,False,ACTIVE,True
Collin Gillespie,Free Agent,PHO,PG,True,OUT,True
Justin Jackson,Free Agent,FA,SF,False,ACTIVE,True
DJ Stephens,Free Agent,MEM,SG,False,[],True
Willy Hernangomez,Free Agent,NOP,C,False,[],True
Keyontae Johnson,Free Agent,FA,SF,False,ACTIVE,True
Orlando Robinson,Free Agent,SAC,C,True,OUT,True
Chimezie Metu,Free Agent,FA,PF,False,ACTIVE,True
Meyers Leonard,Free Agent,MIL,C,False,[],True
Shaquille Harrison,Free Agent,MEM,SG,False,[],True
Keita Bates-Diop,Free Agent,FA,SF,False,ACTIVE,True
Saben Lee,Free Agent,FA,PG,False,ACTIVE,True
Cleanthony Early,Free Agent,NYK,SF,False,[],True
Walt Lemon Jr.,Free Agent,IND,PG,False,[],True
Troy Williams,Free Agent,SAC,SF,False,[],True
J.J. Barea,Free Agent,DAL,PG,False,[],True
Daishen Nix,Free Agent,MIN,PG,False,ACTIVE,True
Ron Baker,Free Agent,WAS,SG,False,[],True
Bryn Forbes,Free Agent,MIN,SG,False,[],True
James Nunnally,Free Agent,NOP,SG,False,[],True
Mason Jones,Free Agent,SAC,SG,False,ACTIVE,True
Anthony Tolliver,Free Agent,NOP,PF,False,[],True
Lester Quinones,Free Agent,FA,SG,False,ACTIVE,True
Damian Jones,Free Agent,FA,C,False,ACTIVE,True
Shabazz Muhammad,Free Agent,MIL,SF,False,[],True
Quinn Cook,Free Agent,SAC,PG,False,[],True
Jamil Wilson,Free Agent,LAC,PF,False,[],True
DeVaughn Akoon-Purcell,Free Agent,OKC,SG,False,[],True
Pat Spencer,Free Agent,GSW,PG,False,ACTIVE,True
Javon Freeman-Liberty,Free Agent,FA,PG,False,DAY_TO_DAY,True
Andrew White III,Free Agent,NYK,SG,False,[],True
Diamond Stone,Free Agent,CHI,C,False,[],True
Furkan Korkmaz,Free Agent,FA,SG,False,ACTIVE,True
Frank Ntilikina,Free Agent,FA,PG,False,ACTIVE,True
Wenyen Gabriel,Free Agent,FA,SF,False,ACTIVE,True
David Stockton,Free Agent,FA,PG,False,ACTIVE,True
Luka Samanic,Free Agent,FA,PF,False,ACTIVE,True
C.J. Williams,Free Agent,BKN,SF,False,[],True
Shane Larkin,Free Agent,BOS,PG,False,[],True
Jarrett Culver,Free Agent,FA,SG,False,ACTIVE,True
Olivier Sarr,Free Agent,FA,C,True,OUT,True
Dewayne Dedmon,Free Agent,PHL,C,False,[],True
Brad Wanamaker,Free Agent,WAS,PG,False,[],True
Luke Travers,Free Agent,CLE,SG,True,OUT,True
Cristiano Felicio,Free Agent,CHI,C,False,[],True
Alec Brown,Free Agent,FA,C,False,[],True
Udoka Azubuike,Free Agent,FA,C,False,ACTIVE,True
Stanley Umude,Free Agent,MIL,SG,False,ACTIVE,True
Okaro White,Free Agent,WAS,PF,False,[],True
Carlik Jones,Free Agent,CHI,PG,False,[],True
Shawn Long,Free Agent,HOU,PF,False,[],True
Johnathan Williams,Free Agent,WAS,C,False,[],True
Georgios Papagiannis,Free Agent,POR,C,False,[],True
Dee Bost,Free Agent,FA,PG,False,[],True
R.J. Hampton,Free Agent,FA,PG,False,ACTIVE,True
Ish Wainright,Free Agent,FA,PF,False,ACTIVE,True
Sim Bhullar,Free Agent,SAC,C,False,[],True
Jalen Bridges,Free Agent,PHO,SF,False,ACTIVE,True
Juan Toscano-Anderson,Free Agent,FA,SF,True,OUT,True
Lorenzo Brown,Free Agent,TOR,SG,False,[],True
Zoran Dragic,Free Agent,BOS,SG,False,[],True
Mojave King,Free Agent,IND,SG,False,[],True
Edmond Sumner,Free Agent,CHA,SG,False,[],True
Will Cherry,Free Agent,GSW,SG,False,[],True
Tony Bradley,Free Agent,FA,C,False,ACTIVE,True
Yogi Ferrell,Free Agent,LAC,SG,False,[],True
E.J. Liddell,Free Agent,CHI,PF,False,ACTIVE,True
Danuel House Jr.,Free Agent,FA,SF,False,ACTIVE,True
Kendall Brown,Free Agent,FA,SF,False,ACTIVE,True
Jay Scrubb,Free Agent,FA,SG,False,ACTIVE,True
Monta Ellis,Free Agent,IND,SG,False,[],True
Vander Blue,Free Agent,LAL,SG,False,[],True
Alan Williams,Free Agent,BKN,PF,False,[],True
Xavier Sneed,Free Agent,CHA,SF,False,[],True
Tarik Biberovic,Free Agent,MEM,PF,False,[],True
David Johnson,Free Agent,MEM,PG,False,[],True
Zylan Cheatham,Free Agent,FA,SF,False,ACTIVE,True
Troy Brown Jr.,Free Agent,FA,SF,False,ACTIVE,True
Greg Brown III,Free Agent,FA,PF,False,ACTIVE,True
Aaron White,Free Agent,WAS,SF,False,[],True
Joel Bolomboy,Free Agent,MIL,PF,False,[],True
Bryce Cotton,Free Agent,MEM,SG,False,[],True
Antonio Blakeney,Free Agent,CHI,SG,False,[],True
Allonzo Trier,Free Agent,NYK,SG,False,[],True
Michael Cobbins,Free Agent,OKC,PF,False,[],True
Lucas Nogueira,Free Agent,TOR,C,False,[],True
David Duke Jr.,Free Agent,SAS,SG,False,DAY_TO_DAY,True
Noah Vonleh,Free Agent,SAS,PF,False,[],True
Ibou Badji,Free Agent,POR,C,False,ACTIVE,True
Lamar Stevens,Free Agent,FA,SF,False,ACTIVE,True
Harry Giles III,Free Agent,FA,PF,False,ACTIVE,True
Juan Nunez,Free Agent,FA,PG,False,ACTIVE,True
Omer Yurtseven,Free Agent,FA,C,False,ACTIVE,True
Matt Williams Jr.,Free Agent,MIA,SG,False,[],True
